Date,Value,Min,Max,Variation,Volume,Action,index
2024-01-10,190.00,187.55,190.00,0.53,1215,Disty Technolog,
2024-01-10,117.80,117.80,117.80,0.00,50,SRM,
2024-01-10,190.00,188.00,194.00,-1.14,3880,Risma,
2024-01-10,1994.00,1963.00,1995.00,0.00,263,LafargeHolcim,
2024-01-10,699.90,687.50,700.00,4.15,1463,DISWAY,
2024-01-10,31.99,31.50,32.00,-0.03,120,Ennakl,
2024-01-10,570.00,543.00,570.00,1.79,17601,BMCI,
2024-01-10,850.00,850.00,850.00,0.00,20,CDM,
2024-01-10,78.00,78.00,78.00,-0.64,20,Zellidja,
2024-01-10,183.40,181.05,183.40,0.22,94459,BOA,
2024-01-10,199.00,199.00,199.00,4.74,30,S2M,
2024-01-10,24.50,23.90,24.55,2.51,18203,Res.Dar Saada,
2024-01-10,1000.00,990.00,1000.00,-2.72,197,SOTHEMA,
2024-01-10,1350.00,1350.00,1350.00,0.00,20,Oulmes,
2024-01-10,7000.00,7000.00,7000.00,0.00,2,Agma,
2024-01-10,594.50,594.50,594.50,-0.50,30,CTM,
2024-01-10,511.30,511.30,511.30,0.65,1000,SALAFIN,
2024-01-10,476.00,473.35,476.00,0.19,74011,Attijariwafa,
2024-01-10,204.00,202.35,209.00,1.49,25103,TGCC,
2024-01-10,940.00,940.00,940.00,0.00,300,PROMOPHARM,
2024-01-10,1339.00,1339.00,1339.00,0.00,10,Aluminium Maroc,
2024-01-10,22.87,22.75,22.87,3.95,301,Cartier Saada,
2024-01-10,68.45,67.50,68.50,1.71,6474,Auto Hall,
2024-01-10,1227.00,1199.00,1238.00,2.76,12670,TAQA Morocco,
2024-01-10,445.00,445.00,445.00,-0.22,115,Aradei Capital,
2024-01-10,4190.00,4150.00,4200.00,2.20,10184,Wafa Assur,
2024-01-10,16.20,16.20,16.40,-1.28,452994,Addoha,
2024-01-10,141.00,141.00,142.95,-0.70,88066,Alliances,
2024-01-10,29.21,29.00,30.70,-5.01,1645,STROC Indus,
2024-01-10,540.00,521.00,548.00,3.83,23397,Akdital,
2024-01-10,671.00,666.00,675.00,1.04,953,Sonasid,
2024-01-10,10.95,10.80,10.95,0.46,90,Stokvis Nord Afr,
2024-01-10,93.25,93.25,95.69,-2.74,148,FENIE BROSSETTE,
2024-01-10,254.00,254.00,255.00,0.75,13727,Mutandis,
2024-01-10,1200.00,1200.00,1201.00,-1.96,1588,AFMA,
2024-01-10,36.93,36.93,36.93,0.65,10,Delta Holding,
2024-01-10,1150.00,1130.00,1167.00,2.68,1103,CMT,
2024-01-10,484.00,477.00,485.00,1.47,5066,SNEP,
2024-01-10,124.00,123.75,126.00,-0.80,407,ATLANTASANAD,
2024-01-10,1400.00,1362.00,1405.00,-0.71,44,SMI,
2024-01-10,155.00,153.15,156.00,1.24,83691,CFG Bank,
2024-01-10,1720.00,1710.00,1720.00,0.29,1359,Ciments Maroc,
2024-01-10,86.00,86.00,86.00,-1.15,382,INVOLYS,
2024-01-10,278.90,273.30,279.00,0.32,86914,SODEP,
2024-01-10,2200.00,2200.00,2200.00,-3.89,509,Ste Boissons,
2024-01-10,199.00,199.00,199.00,0.51,150,COSUMAR,
2024-01-10,2320.00,2320.00,2320.00,-0.22,200,Auto Nejma,
2024-01-10,281.90,265.00,284.00,6.38,5766,Jet Contractors,
2024-01-10,3995.00,3995.00,3996.00,-0.13,3,Afriquia Gaz,
2024-01-10,270.00,270.00,270.00,0.00,60,Lesieur Cristal,
2024-01-10,1050.00,1050.00,1050.00,-0.28,90,EQDOM,
2024-01-10,95.00,94.52,95.00,0.00,643,Immr Invest,
2024-01-10,344.00,340.00,345.00,0.38,1148,CIH,
2024-01-10,620.00,620.00,640.00,-2.97,117,Microdata,
2024-01-10,284.50,282.00,288.00,0.55,103671,BCP,
